"","Development Status (short)","Installed Capacity (MWelec)","Ref ID","Planning","Connection","Construction","date","passed_planning_date","passed_connection_date","passed_construction_date","Date","tech","broad_status","broad_status_start","passed_planning","passed_planning_time","passed_planning_time_wk","passed_connection","passed_connection_time","passed_connection_time_wk","passed_construction","passed_construction_time","passed_construction_time_wk","run"
"1","Awaiting Construction",9.2,4149,353980800,NA,NA,2007-10-02,2018-12-20,2025-05-16,2025-07-16,2007-10-02,"Wind Onshore","Completed","Connection",TRUE,353980800,585.285714285714,TRUE,2339,334.142857142857,TRUE,5270400,8.71428571428572,1
"2","Awaiting Construction",24,4301,143510400,NA,NA,2013-11-27,2018-06-15,2024-05-13,2025-04-12,2013-11-27,"Wind Onshore","Completed","Connection",TRUE,143510400,237.285714285714,FALSE,2159,308.428571428571,TRUE,28857600,47.7142857142857,1
"3","Awaiting Construction",13.8,4564,224121600,NA,NA,2010-12-09,2018-01-15,2019-02-22,2021-08-23,2010-12-09,"Wind Onshore","Completed","Connection",TRUE,224121600,370.571428571429,TRUE,403,57.5714285714286,TRUE,78883200,130.428571428571,1
"4","Awaiting Construction",12.6,4565,220147200,NA,NA,2012-08-23,2019-08-15,2022-09-29,2024-01-18,2012-08-23,"Wind Onshore","Completed","Connection",TRUE,220147200,364,TRUE,1141,163,TRUE,41126400,68,1
"5","Awaiting Construction",25,6024,72057600,NA,NA,2016-02-10,2018-05-24,2019-07-18,2019-09-23,2016-02-10,"Solar Photovoltaics","Completed","Connection",TRUE,72057600,119.142857142857,TRUE,420,60,TRUE,5788800,9.57142857142857,1
"6","Awaiting Construction",20.7,6096,81043200,NA,NA,2015-10-13,2018-05-08,2027-05-02,2028-12-30,2015-10-13,"Wind Onshore","Completed","Connection",TRUE,81043200,134,FALSE,3281,468.714285714286,TRUE,52531200,86.8571428571429,1
"7","Awaiting Construction",36.3,6143,152236800,NA,NA,2016-05-19,2021-03-16,2022-04-18,2023-03-13,2016-05-19,"Wind Onshore","Completed","Connection",TRUE,152236800,251.714285714286,TRUE,398,56.8571428571429,TRUE,28425600,47,1
"8","Awaiting Construction",2.3,6154,68774400,NA,NA,2016-06-15,2018-08-20,2020-11-22,2020-07-03,2016-06-15,"Wind Onshore","Completed","Connection",TRUE,68774400,113.714285714286,TRUE,825,117.857142857143,TRUE,-12268800,-20.2857142857143,1
"9","Awaiting Construction",29.7,6562,89164800,NA,NA,2018-02-19,2020-12-17,2024-12-22,2026-03-13,2018-02-19,"Wind Onshore","Completed","Connection",TRUE,89164800,147.428571428571,FALSE,1466,209.428571428571,TRUE,38534400,63.7142857142857,1
"10","Awaiting Construction",4.8,6646,26092800,NA,NA,2018-06-19,2019-04-17,2023-07-14,2024-09-12,2018-06-19,"Wind Onshore","Completed","Connection",TRUE,26092800,43.1428571428571,TRUE,1549,221.285714285714,TRUE,36806400,60.8571428571429,1
"11","Awaiting Construction",0.3,6774,16416000,NA,NA,2018-12-10,2019-06-18,2028-06-11,2030-04-29,2018-12-10,"Wind Onshore","Completed","Connection",TRUE,16416000,27.1428571428571,FALSE,3281,468.714285714286,TRUE,59356800,98.1428571428572,1
"12","Awaiting Construction",23.1,6790,27043200,NA,NA,2018-10-04,2019-08-13,2025-11-24,2026-04-19,2018-10-04,"Wind Onshore","Completed","Connection",TRUE,27043200,44.7142857142857,TRUE,2295,327.857142857143,TRUE,12614400,20.8571428571429,1
"13","Awaiting Construction",0.3,6801,51926400,NA,NA,2017-08-04,2019-03-28,2023-06-17,2024-06-30,2017-08-04,"Wind Onshore","Completed","Connection",TRUE,51926400,85.8571428571429,TRUE,1542,220.285714285714,TRUE,32745600,54.1428571428571,1
"14","Awaiting Construction",0.2,6812,12614400,NA,NA,2018-12-07,2019-05-02,2028-05-11,2028-11-19,2018-12-07,"Wind Onshore","Completed","Connection",TRUE,12614400,20.8571428571429,FALSE,3297,471,TRUE,16588800,27.4285714285714,1
"15","Awaiting Construction",1.5,7213,35510400,NA,NA,2018-11-21,2020-01-06,2026-05-02,2026-12-15,2018-11-21,"Wind Onshore","Completed","Connection",TRUE,35510400,58.7142857142857,TRUE,2308,329.714285714286,TRUE,19612800,32.4285714285714,1
"16","Awaiting Construction",0.2,7271,18748800,NA,NA,2019-02-07,2019-09-12,2026-01-06,2026-09-11,2019-02-07,"Wind Onshore","Completed","Connection",TRUE,18748800,31,TRUE,2308,329.714285714286,TRUE,21427200,35.4285714285714,1
"17","Awaiting Construction",0.3,7289,36288000,NA,NA,2019-01-25,2020-03-20,2023-06-15,2024-08-15,2019-01-25,"Wind Onshore","Completed","Connection",TRUE,36288000,60,TRUE,1182,168.857142857143,TRUE,36892800,61,1
"18","Awaiting Construction",0.5,7329,53827200,NA,NA,2018-12-18,2020-09-01,2025-06-07,2027-02-25,2018-12-18,"Wind Onshore","Completed","Connection",TRUE,53827200,89,TRUE,1740,248.571428571429,TRUE,54259200,89.7142857142857,1
"19","Awaiting Construction",0.3,7346,141264000,NA,NA,2019-05-30,2023-11-20,2026-08-02,2026-08-02,2019-05-30,"Wind Onshore","Completed","Connection",TRUE,141264000,233.571428571429,TRUE,986,140.857142857143,TRUE,0,0,1
"20","Awaiting Construction",0.5,7354,28684800,NA,NA,2019-05-24,2020-04-20,2024-12-06,2025-12-30,2019-05-24,"Wind Onshore","Completed","Connection",TRUE,28684800,47.4285714285714,TRUE,1691,241.571428571429,TRUE,33609600,55.5714285714286,1
"21","Awaiting Construction",0.7,7367,81734400,NA,NA,2019-05-20,2021-12-21,2027-10-22,2029-02-09,2019-05-20,"Wind Onshore","Completed","Connection",TRUE,81734400,135.142857142857,FALSE,2131,304.428571428571,TRUE,41126400,68,1
"22","Awaiting Construction",0.3,7387,43200000,NA,NA,2019-05-13,2020-09-24,2022-10-16,2023-08-17,2019-05-13,"Wind Onshore","Completed","Connection",TRUE,43200000,71.4285714285714,TRUE,752,107.428571428571,TRUE,26352000,43.5714285714286,1
"23","Awaiting Construction",0.2,7392,62467200,NA,NA,2019-05-01,2021-04-23,2021-06-28,2022-08-21,2019-05-01,"Wind Onshore","Completed","Connection",TRUE,62467200,103.285714285714,TRUE,66,9.42857142857143,TRUE,36201600,59.8571428571429,1
"24","Awaiting Construction",46.8,7406,17625600,NA,NA,2018-09-25,2019-04-17,2019-05-27,2020-03-26,2018-09-25,"Wind Onshore","Completed","Connection",TRUE,17625600,29.1428571428571,TRUE,40,5.71428571428571,TRUE,26265600,43.4285714285714,1
"25","Awaiting Construction",0.3,7407,4233600,NA,NA,2019-03-12,2019-04-30,2021-09-06,2023-01-20,2019-03-12,"Wind Onshore","Completed","Connection",TRUE,4233600,7,TRUE,860,122.857142857143,TRUE,43286400,71.5714285714286,1
"26","Awaiting Construction",0.3,7436,50112000,NA,NA,2019-03-07,2020-10-07,2025-12-15,2028-02-18,2019-03-07,"Wind Onshore","Completed","Connection",TRUE,50112000,82.8571428571429,TRUE,1895,270.714285714286,TRUE,68688000,113.571428571429,1
"27","Awaiting Construction",0.3,7445,9072000,NA,NA,2019-03-11,2019-06-24,2022-03-07,2023-04-01,2019-03-11,"Wind Onshore","Completed","Connection",TRUE,9072000,15,TRUE,987,141,TRUE,33696000,55.7142857142857,1
"28","Awaiting Construction",28,7489,99273600,NA,NA,2019-08-13,2022-10-05,2022-12-10,2023-07-25,2019-08-13,"Wind Onshore","Completed","Connection",TRUE,99273600,164.142857142857,TRUE,66,9.42857142857143,TRUE,19612800,32.4285714285714,1
"29","Awaiting Construction",0.3,7494,66528000,NA,NA,2019-08-21,2021-09-29,2023-12-26,2024-08-09,2019-08-21,"Wind Onshore","Completed","Connection",TRUE,66528000,110,FALSE,818,116.857142857143,TRUE,19612800,32.4285714285714,1
"30","Awaiting Construction",0.3,7504,49593600,NA,NA,2019-08-15,2021-03-11,2025-09-25,2027-03-21,2019-08-15,"Wind Onshore","Completed","Connection",TRUE,49593600,82,TRUE,1659,237,TRUE,46828800,77.4285714285714,1
"31","Awaiting Construction",20,7543,83548800,NA,NA,2019-07-09,2022-03-02,2024-04-13,2026-03-01,2019-07-09,"Wind Onshore","Completed","Connection",TRUE,83548800,138.142857142857,FALSE,773,110.428571428571,TRUE,59356800,98.1428571428572,1
"32","Awaiting Construction",0.3,7545,50284800,NA,NA,2019-07-02,2021-02-03,2024-03-20,2025-01-18,2019-07-02,"Wind Onshore","Completed","Connection",TRUE,50284800,83.1428571428572,TRUE,1141,163,TRUE,26265600,43.4285714285714,1
"33","Awaiting Construction",0.2,7560,9590400,NA,NA,2019-06-14,2019-10-03,2021-01-25,2022-01-08,2019-06-14,"Wind Onshore","Completed","Connection",TRUE,9590400,15.8571428571429,FALSE,480,68.5714285714286,TRUE,30067200,49.7142857142857,1
"34","Awaiting Construction",0.2,7563,146966400,NA,NA,2019-06-07,2024-02-02,2028-09-19,2029-11-20,2019-06-07,"Wind Onshore","Completed","Connection",TRUE,146966400,243,FALSE,1691,241.571428571429,TRUE,36892800,61,1
"35","Awaiting Construction",0.3,7603,30153600,NA,NA,2019-11-27,2020-11-10,2025-02-15,2026-01-23,2019-11-27,"Wind Onshore","Completed","Connection",TRUE,30153600,49.8571428571429,TRUE,1558,222.571428571429,TRUE,29548800,48.8571428571429,1
"36","Awaiting Construction",0.3,7612,26956800,NA,NA,2019-11-25,2020-10-02,2021-05-30,2023-03-20,2019-11-25,"Wind Onshore","Completed","Connection",TRUE,26956800,44.5714285714286,FALSE,240,34.2857142857143,TRUE,56937600,94.1428571428572,1
