"Date","Renewable electricity generation as a percentage of electricity consumption - monthly","Renewable Wind (GWh)","Non Wind Renewable (GWh)","Total Renewable Electricity Generated (GWh)","Total Electricity Consumption (GWh)"
2015-03-01,27.6,180.7,14.6,195.2,706.6
2015-04-01,17.1,92.4,14.3,106.7,624.5
2015-05-01,29.2,166.8,15.1,181.8,623.7
2015-06-01,22.2,118,13.9,131.9,593.6
2015-07-01,21.1,108.8,15.5,124.3,589.7
2015-08-01,21.8,103.1,24.5,127.6,585.1
2015-09-01,19.5,100.8,18.2,119.1,609.9
2015-10-01,19.1,107.7,18.7,126.4,662.2
2015-11-01,31.7,194,25.2,219.3,692
2015-12-01,38.4,247.9,22.2,270.1,703.8
2016-01-01,31.3,203.3,24.9,228.3,728.4
2016-02-01,28.6,172.7,25.2,198,692.7
2016-03-01,22.5,124.4,29.8,154.2,685.3
2016-04-01,23.2,123.7,22.9,146.6,630.7
2016-05-01,22.1,105.1,29.5,134.5,607.8
2016-06-01,16.2,66.4,28.2,94.6,582
2016-07-01,20.3,85.4,31.1,116.5,573.8
2016-08-01,27.2,129.8,30,159.8,588.3
2016-09-01,29.9,152.6,28.5,181.1,606.2
2016-10-01,23.9,126.2,32,158.2,662.1
2016-11-01,20.8,118.6,31.5,150.1,722.2
2016-12-01,36.3,227,32,259,714.3
2017-01-01,31,195.8,33.6,229.4,739.5
2017-02-01,38.9,227.2,30.3,257.5,661.2
2017-03-01,31.7,186.7,32.6,219.3,691.7
2017-04-01,31.1,158.9,31.4,190.3,610.9
2017-05-01,30.9,143.2,44.6,187.7,607.1
2017-06-01,38.6,182.1,42.9,225,582.2
2017-07-01,32.3,139.9,45.8,185.7,574.2
2017-08-01,33.4,154.4,42.9,197.3,591.4
2017-09-01,40.3,208,39.1,247.1,612.6
2017-10-01,43.2,261.4,25.3,286.7,664.1
2017-11-01,30,193.9,24,217.9,726.8
2017-12-01,35.4,229.3,33.8,263.1,744
2018-01-01,44.7,309.8,33.7,343.5,768.5
2018-02-01,37,221.9,32.9,254.9,688.6
2018-03-01,38.2,237.2,39.5,276.8,723.9
2018-04-01,39.3,199.1,45.6,244.6,622.5
2018-05-01,36.4,172.8,51.8,224.5,616.8
2018-06-01,26.7,102,52.7,154.7,579.2
2018-07-01,26.5,107.8,46.7,154.6,583.5
2018-08-01,38.3,183.4,44.3,227.7,594.3
2018-09-01,46.7,240.6,41.6,282.1,604.3
2018-10-01,46.7,275.8,41,316.8,677.9
2018-11-01,55.4,357.2,36.8,394,710.8
2018-12-01,46.4,294.6,39,333.5,719.3
2019-01-01,36.4,238.4,34.1,272.5,749
2019-02-01,58.6,344.1,37.9,382,652.1
2019-03-01,52.2,323.6,41.7,365.3,699.3
2019-04-01,46.5,249.3,40,289.3,622.3
2019-05-01,33,151.1,50.4,201.5,609.9
2019-06-01,37,159.2,49.9,209.1,565.1
2019-07-01,35.9,156.2,48.9,205.1,571.4
2019-08-01,46.9,218.1,49.4,267.5,570.7
2019-09-01,42.3,204.6,44.8,249.4,589.5
2019-10-01,47.6,272.3,43.3,315.5,663.6
2019-11-01,34.9,207.3,38.5,245.8,704.9
2019-12-01,51,322.5,42.2,364.7,714.9
2020-01-01,57.8,390.6,31.8,422.4,731.1
2020-02-01,69.3,432.6,37.7,470.3,679
2020-03-01,54,313.5,49.6,363.2,672.4
2020-04-01,40.6,162.2,54,216.2,532.5
2020-05-01,42.4,175,54.1,229.1,540
2020-06-01,42.6,177.9,49.8,227.7,534.7
2020-07-01,42.2,184.8,49.6,234.5,555.4
2020-08-01,36.1,150,51.5,201.6,558.3
2020-09-01,46.1,220.5,48.9,269.5,583.9
2020-10-01,52.6,290.8,46.2,337,640.6
2020-11-01,48.1,285.9,38.4,324.3,674.2
2020-12-01,49.8,315.3,40.1,355.4,713.8
2021-01-01,37.7,232.5,40.3,272.8,723
2021-02-01,65.4,376.3,38.2,414.4,633.8
2021-03-01,49.4,287.1,43.4,330.5,668.9
2021-04-01,34.6,151,56.5,207.5,599.4
2021-05-01,41,189,55.5,244.5,596.6
2021-06-01,38.6,167,51.6,218.6,566.9
2021-07-01,18.8,53.6,53.5,107.1,570.2
2021-08-01,28.9,115.8,50.3,166.1,574
2021-09-01,34.3,157.2,44.2,201.4,588
2021-10-01,47.8,263.7,44.7,308.4,645.7
2021-11-01,45.8,275.8,40.5,316.4,691.4
2021-12-01,47.9,301.5,41.9,343.4,716.7
2022-01-01,55.7,360.2,40.5,400.8,719.4
2022-02-01,76.5,456,40.3,496.3,648.6
2022-03-01,47,275.3,46,321.2,682.7
2022-04-01,48.9,244.3,51.5,295.9,605.1
2022-05-01,54,269,55.2,324.3,600.7
2022-06-01,48.6,218.8,52.1,270.9,557.2
2022-07-01,37,153.6,50.9,204.6,552.7
2022-08-01,35.1,144.8,52.1,196.9,560.8
2022-09-01,39,177.4,44.6,222,569.2
2022-10-01,62.7,348.5,45.9,394.4,629.2
2022-11-01,60.2,357.1,40.6,397.8,660.9
2022-12-01,42.4,259.4,40.6,300,707.9
2023-01-01,54.3,345,42,387,712.3
2023-02-01,56.8,317.4,38.9,356.4,627.9
2023-03-01,39.3,229.6,40.6,270.2,686.8
2023-04-01,46.6,225.6,50,275.6,591.2
2023-05-01,32.8,130,60.3,190.3,580.5
2023-06-01,34,124.5,59.5,184,540.4
2023-07-01,43.3,171.9,57.2,229.1,529.5
2023-08-01,48.9,208.3,54.7,263,537.6
2023-09-01,43.3,189.6,49.9,239.5,552.5
2023-10-01,46.2,236.9,46.8,283.7,613.6
2023-11-01,40.4,220.9,45.4,266.3,659.7
2023-12-01,59.5,353,42.7,395.7,665.1
2024-01-01,46.1,281.7,42.2,323.9,702.4
2024-02-01,50,274,43.7,317.7,634.9
2024-03-01,50.5,281.8,51.2,332.9,659.2
2024-04-01,42.4,203,48.1,251.1,591.7
2024-05-01,34,143.3,51.5,194.9,573.3
2024-06-01,42.2,166.5,54.7,221.2,524.5
2024-07-01,31.2,109.5,55.4,165,528.1
2024-08-01,49.1,212.1,51.2,263.3,536.4
2024-09-01,37.8,163.1,50.9,214,566.1
2024-10-01,48.8,258.3,45.8,304.1,623.7
2024-11-01,37.3,207.5,40.5,248,664
2024-12-01,48.8,283.7,42.2,325.8,667.8
2025-01-01,38.6,235.9,37.4,273.3,707.9
2025-02-01,58.8,331,38.8,369.8,628.9
2025-03-01,45.5,247,48.5,295.5,649.6
