"Date","Total consumption (GWh)","Renewable Generation (GWh)","Wind Generation (GWh)","Non-wind Generation (GWh)"
2015-03-01,7928.4,1580.6,1447.4,133.1
2015-04-01,7905.1,1570.1,1431.5,138.6
2015-05-01,7890.1,1664.3,1520.3,144
2015-06-01,7888.3,1740.8,1591.8,149
2015-07-01,7879.7,1786.1,1631.8,154.3
2015-08-01,7869.3,1793.4,1625.4,168.1
2015-09-01,7865.9,1862,1685,177
2015-10-01,7857,1815.6,1631.2,184.4
2015-11-01,7852.1,1910.3,1712.8,197.6
2015-12-01,7819.4,1985.4,1778.6,206.8
2016-01-01,7794.5,1976.4,1757.4,219
2016-02-01,7812.3,2028.5,1796.3,232.2
2016-03-01,7790.9,1987.5,1740,247.4
2016-04-01,7797.2,2027.3,1771.3,256
2016-05-01,7781.2,1980,1709.6,270.4
2016-06-01,7769.6,1942.7,1658,284.7
2016-07-01,7753.8,1934.9,1634.6,300.4
2016-08-01,7757,1967.1,1661.2,305.9
2016-09-01,7753.3,2029.2,1713,316.2
2016-10-01,7753.2,2060.9,1731.4,329.5
2016-11-01,7783.4,1991.8,1656,335.8
2016-12-01,7793.9,1980.8,1635.2,345.6
2017-01-01,7805,1981.9,1627.6,354.3
2017-02-01,7773.5,2041.4,1682.1,359.4
2017-03-01,7780,2106.5,1744.3,362.2
2017-04-01,7760.1,2150.2,1779.5,370.7
2017-05-01,7759.5,2203.4,1817.6,385.8
2017-06-01,7759.7,2333.9,1933.4,400.5
2017-07-01,7760.1,2403.1,1987.9,415.1
2017-08-01,7763.1,2440.6,2012.5,428.1
2017-09-01,7769.6,2506.5,2067.9,438.6
2017-10-01,7771.6,2635.1,2203.2,431.9
2017-11-01,7776.1,2702.9,2278.5,424.5
2017-12-01,7805.8,2707,2280.7,426.3
2018-01-01,7834.8,2821.1,2394.8,426.3
2018-02-01,7862.1,2818.5,2389.5,428.9
2018-03-01,7894.3,2876,2440.1,435.9
2018-04-01,7905.8,2930.3,2480.3,450
2018-05-01,7915.5,2967.1,2509.9,457.3
2018-06-01,7912.4,2896.8,2429.7,467.1
2018-07-01,7921.7,2865.7,2397.7,468
2018-08-01,7924.7,2896,2426.7,469.4
2018-09-01,7916.3,2931.1,2459.2,471.8
2018-10-01,7930.2,2961.1,2473.6,487.5
2018-11-01,7914.2,3137.2,2636.9,500.3
2018-12-01,7889.5,3207.6,2702.2,505.4
2019-01-01,7870.1,3136.6,2630.8,505.8
2019-02-01,7833.6,3263.7,2753,510.8
2019-03-01,7809,3352.3,2839.4,512.9
2019-04-01,7808.8,3397,2889.6,507.4
2019-05-01,7802,3374,2867.9,506
2019-06-01,7787.9,3428.3,2925.1,503.3
2019-07-01,7775.7,3478.8,2973.4,505.4
2019-08-01,7752.1,3518.6,3008.1,510.5
2019-09-01,7737.3,3485.9,2972.1,513.8
2019-10-01,7723,3484.6,2968.5,516.1
2019-11-01,7717.1,3336.5,2818.6,517.9
2019-12-01,7712.6,3367.7,2846.6,521.1
2020-01-01,7694.7,3517.6,2998.7,518.9
2020-02-01,7721.6,3605.9,3087.2,518.7
2020-03-01,7694.7,3603.8,3077.2,526.6
2020-04-01,7604.9,3530.7,2990.1,540.6
2020-05-01,7535,3558.2,3013.9,544.3
2020-06-01,7504.7,3576.8,3032.7,544.2
2020-07-01,7488.7,3606.2,3061.3,544.9
2020-08-01,7476.3,3540.3,2993.3,547
2020-09-01,7470.7,3560.4,3009.3,551.1
2020-10-01,7447.7,3581.9,3027.8,554.1
2020-11-01,7417,3660.4,3106.4,554
2020-12-01,7415.9,3651,3099.2,551.9
2021-01-01,7407.9,3501.5,2941.1,560.4
2021-02-01,7362.7,3445.6,2884.7,560.8
2021-03-01,7359.3,3412.9,2858.3,554.6
2021-04-01,7426.1,3404.2,2847.1,557.2
2021-05-01,7482.7,3419.6,2861.1,558.5
2021-06-01,7514.8,3410.6,2850.3,560.3
2021-07-01,7529.6,3283.2,2719,564.2
2021-08-01,7545.2,3247.7,2684.8,562.9
2021-09-01,7549.4,3179.6,2621.4,558.2
2021-10-01,7554.4,3151,2594.3,556.7
2021-11-01,7571.7,3143,2584.2,558.8
2021-12-01,7574.5,3131.1,2570.4,560.7
2022-01-01,7570.8,3259,2698.2,560.8
2022-02-01,7585.6,3340.9,2777.9,563
2022-03-01,7599.4,3331.6,2766,565.5
2022-04-01,7605.1,3419.9,2859.4,560.5
2022-05-01,7609.2,3499.7,2939.4,560.3
2022-06-01,7599.5,3552,2991.2,560.9
2022-07-01,7582,3649.5,3091.2,558.3
2022-08-01,7568.9,3680.4,3120.2,560.2
2022-09-01,7550.1,3700.9,3140.4,560.5
2022-10-01,7533.6,3786.9,3225.3,561.6
2022-11-01,7503,3868.3,3306.6,561.7
2022-12-01,7494.3,3824.9,3264.5,560.4
2023-01-01,7487.2,3811.2,3249.3,561.9
2023-02-01,7466.6,3671.3,3110.7,560.5
2023-03-01,7470.6,3620.3,3065.1,555.2
2023-04-01,7456.8,3600,3046.4,553.7
2023-05-01,7436.5,3466.1,2907.4,558.7
2023-06-01,7419.7,3379.2,2813.1,566.1
2023-07-01,7396.6,3403.8,2831.3,572.4
2023-08-01,7373.3,3469.8,2894.9,575
2023-09-01,7356.6,3487.4,2907,580.3
2023-10-01,7341.1,3376.6,2795.4,581.3
2023-11-01,7339.9,3245.2,2659.1,586.1
