"","Installed Capacity (MWelec)","tech","Ref ID","Date","run","broad_status","broad_status_start","passed_planning","passed_planning_time","passed_planning_time_wk","passed_planning_date","passed_connection","passed_connection_time","passed_connection_time_wk","passed_connection_date","passed_construction","passed_construction_time","passed_construction_time_wk","passed_construction_date"
"1",0.3,"Wind Onshore",7647,2025-01-01,1,"Completed","Planning",TRUE,53740800,88.8571428571429,2026-09-15,TRUE,860,122.857142857143,2029-01-22,TRUE,44323200,73.2857142857143,2030-06-19
"2",25,"Wind Onshore",3241,2025-01-01,1,"Completed","Planning",FALSE,50284800,83.1428571428572,2026-08-06,FALSE,1,0.142857142857143,2026-08-07,TRUE,-12268800,-20.2857142857143,2026-03-18
"3",12.1,"Wind Onshore",3599,2025-01-01,1,"Completed","Planning",FALSE,10540800,17.4285714285714,2025-05-03,TRUE,932,133.142857142857,2027-11-21,TRUE,34732800,57.4285714285714,2028-12-27
"4",0.3,"Wind Onshore",6801,2025-01-01,1,"Completed","Planning",TRUE,81734400,135.142857142857,2027-08-05,TRUE,986,140.857142857143,2030-04-17,TRUE,31536000,52.1428571428571,2031-04-17
"5",17.5,"Wind Onshore",4238,2025-01-01,1,"Completed","Planning",TRUE,124848000,206.428571428571,2028-12-16,TRUE,2251,321.571428571429,2035-02-14,TRUE,52531200,86.8571428571429,2036-10-14
"6",6.5,"Solar Photovoltaics",2324,2025-01-01,1,"Completed","Planning",TRUE,16416000,27.1428571428571,2025-07-10,TRUE,513,73.2857142857143,2026-12-05,TRUE,2419200,4,2027-01-02
"7",15,"Wind Onshore",4066,2025-02-01,1,"Completed","Planning",TRUE,17971200,29.7142857142857,2025-08-28,TRUE,1895,270.714285714286,2030-11-05,TRUE,37584000,62.1428571428571,2032-01-14
"8",0.3,"Wind Onshore",8135,2025-02-01,1,"Completed","Planning",FALSE,20822400,34.4285714285714,2025-09-30,TRUE,2339,334.142857142857,2032-02-25,TRUE,50716800,83.8571428571429,2033-10-04
"9",7.3,"Wind Onshore",3566,2025-02-01,1,"Completed","Planning",TRUE,53827200,89,2026-10-17,TRUE,2308,329.714285714286,2033-02-10,TRUE,41644800,68.8571428571429,2034-06-07
"10",0.3,"Wind Onshore",7777,2025-02-01,1,"Completed","Planning",FALSE,68688000,113.571428571429,2027-04-07,TRUE,1428,204,2031-03-05,TRUE,28857600,47.7142857142857,2032-02-02
"11",0.25,"Wind Onshore",8875,2025-02-01,1,"Completed","Planning",TRUE,16416000,27.1428571428571,2025-08-10,TRUE,2295,327.857142857143,2031-11-22,TRUE,52531200,86.8571428571429,2033-07-22
"12",25,"Solar Photovoltaics",5955,2025-02-01,1,"Completed","Planning",TRUE,25488000,42.1428571428571,2025-11-23,TRUE,495,70.7142857142857,2027-04-02,TRUE,27648000,45.7142857142857,2028-02-16
"13",13.8,"Wind Onshore",6188,2025-03-01,1,"Completed","Planning",TRUE,15292800,25.2857142857143,2025-08-25,TRUE,987,141,2028-05-08,TRUE,7862400,13,2028-08-07
