"","finished","run","MW","no_proj"
"1",2025-01-01,1,0,0
"2",2025-01-01,2,0,0
"3",2025-01-01,3,0,0
"4",2025-01-01,4,0,0
"5",2025-01-01,5,0,0
"6",2025-02-01,1,0,0
"7",2025-02-01,2,0,0
"8",2025-02-01,3,0,0
"9",2025-02-01,4,0,0
"10",2025-02-01,5,0,0
"11",2025-03-01,1,0,0
"12",2025-03-01,2,0,0
"13",2025-03-01,3,0,0
"14",2025-03-01,4,0,0
"15",2025-03-01,5,0,0
"16",2025-04-01,1,0,0
"17",2025-04-01,2,0,0
"18",2025-04-01,3,0,0
"19",2025-04-01,4,0,0
"20",2025-04-01,5,0,0
"21",2025-05-01,1,0,0
"22",2025-05-01,2,0,0
"23",2025-05-01,3,0,0
"24",2025-05-01,4,0,0
"25",2025-05-01,5,0,0
"26",2025-06-01,1,0,0
"27",2025-06-01,2,0,0
"28",2025-06-01,3,0,0
"29",2025-06-01,4,0,0
"30",2025-06-01,5,0,0
"31",2025-07-01,1,0,0
"32",2025-07-01,2,0,0
"33",2025-07-01,3,0,0
"34",2025-07-01,4,0,0
"35",2025-07-01,5,0,0
"36",2025-08-01,1,0,0
"37",2025-08-01,2,0,0
"38",2025-08-01,3,0,0
"39",2025-08-01,4,0,0
"40",2025-08-01,5,0,0
"41",2025-09-01,1,0,0
"42",2025-09-01,2,0,0
"43",2025-09-01,3,0,0
"44",2025-09-01,4,0,0
"45",2025-09-01,5,0,0
"46",2025-10-01,1,0,0
"47",2025-10-01,2,0,0
"48",2025-10-01,3,0,0
"49",2025-10-01,4,0,0
"50",2025-10-01,5,0,0
"51",2025-11-01,1,0,0
"52",2025-11-01,2,0,0
"53",2025-11-01,3,0,0
"54",2025-11-01,4,0,0
"55",2025-11-01,5,0,0
"56",2025-12-01,1,0,0
"57",2025-12-01,2,0,0
"58",2025-12-01,3,0,0
"59",2025-12-01,4,0,0
"60",2025-12-01,5,0,0
"61",2026-01-01,1,0,0
"62",2026-01-01,2,0,0
"63",2026-01-01,3,0,0
"64",2026-01-01,4,0,0
"65",2026-01-01,5,0,0
"66",2026-02-01,1,0,0
"67",2026-02-01,2,0,0
"68",2026-02-01,3,0,0
"69",2026-02-01,4,0,0
"70",2026-02-01,5,0,0
"71",2026-03-01,1,0,0
"72",2026-03-01,2,0,0
"73",2026-03-01,3,0,0
"74",2026-03-01,4,0,0
"75",2026-03-01,5,0,0
"76",2026-04-01,1,0,0
"77",2026-04-01,2,0,0
"78",2026-04-01,3,0,0
"79",2026-04-01,4,0,0
"80",2026-04-01,5,0,0
"81",2026-05-01,1,0,0
"82",2026-05-01,2,0,0
"83",2026-05-01,3,0,0
"84",2026-05-01,4,0,0
"85",2026-05-01,5,0,0
"86",2026-06-01,1,0,0
"87",2026-06-01,2,0,0
"88",2026-06-01,3,0,0
"89",2026-06-01,4,0,0
"90",2026-06-01,5,0,0
"91",2026-07-01,1,0,0
"92",2026-07-01,2,0,0
"93",2026-07-01,3,6.5,1
"94",2026-07-01,4,0,0
"95",2026-07-01,5,0,0
"96",2026-08-01,1,0,0
"97",2026-08-01,2,0,0
"98",2026-08-01,3,0,0
"99",2026-08-01,4,0,0
"100",2026-08-01,5,0,0
"101",2026-09-01,1,0,0
"102",2026-09-01,2,0,0
"103",2026-09-01,3,0,0
"104",2026-09-01,4,0,0
"105",2026-09-01,5,0,0
"106",2026-10-01,1,0,0
"107",2026-10-01,2,0,0
"108",2026-10-01,3,0,0
"109",2026-10-01,4,0,0
"110",2026-10-01,5,0,0
"111",2026-11-01,1,4.1,1
"112",2026-11-01,2,0,0
"113",2026-11-01,3,0,0
"114",2026-11-01,4,0,0
"115",2026-11-01,5,0,0
"116",2026-12-01,1,0,0
"117",2026-12-01,2,0,0
"118",2026-12-01,3,0,0
"119",2026-12-01,4,0,0
"120",2026-12-01,5,0,0
"121",2027-01-01,1,0,0
"122",2027-01-01,2,0,0
"123",2027-01-01,3,1,1
