"","finished","mean"
"1",2025-01-01,0
"2",2025-02-01,0
"3",2025-03-01,0
"4",2025-04-01,0
"5",2025-05-01,0
"6",2025-06-01,0
"7",2025-07-01,0
"8",2025-08-01,0
"9",2025-09-01,0
"10",2025-10-01,0
"11",2025-11-01,0
"12",2025-12-01,0
"13",2026-01-01,0
"14",2026-02-01,0
"15",2026-03-01,0
"16",2026-04-01,0
"17",2026-05-01,0
"18",2026-06-01,0
"19",2026-07-01,0
"20",2026-08-01,0
"21",2026-09-01,0
"22",2026-10-01,0
"23",2026-11-01,0
"24",2026-12-01,0
"25",2027-01-01,0
"26",2027-02-01,0
"27",2027-03-01,0
"28",2027-04-01,0
"29",2027-05-01,0
"30",2027-06-01,0
"31",2027-07-01,0
"32",2027-08-01,0
"33",2027-09-01,0
"34",2027-10-01,0
"35",2027-11-01,0
"36",2027-12-01,0
"37",2028-01-01,0
"38",2028-02-01,0
"39",2028-03-01,0
"40",2028-04-01,0
"41",2028-05-01,0
"42",2028-06-01,0
"43",2028-07-01,0
"44",2028-08-01,0
"45",2028-09-01,0
"46",2028-10-01,0
"47",2028-11-01,0
"48",2028-12-01,0
"49",2029-01-01,0
"50",2029-02-01,0
"51",2029-03-01,0
"52",2029-04-01,0
"53",2029-05-01,0
"54",2029-06-01,0
"55",2029-07-01,0
"56",2029-08-01,0
"57",2029-09-01,0
"58",2029-10-01,0
"59",2029-11-01,0
"60",2029-12-01,0
"61",2030-01-01,0
"62",2030-02-01,0
"63",2030-03-01,0
"64",2030-04-01,0
"65",2030-05-01,0
"66",2030-06-01,0
"67",2030-07-01,0
"68",2030-08-01,0
"69",2030-09-01,0
"70",2030-10-01,0
"71",2030-11-01,0
"72",2030-12-01,0
"73",2031-01-01,0
"74",2031-02-01,0
"75",2031-03-01,0
"76",2031-04-01,0
"77",2031-05-01,0
"78",2031-06-01,0
"79",2031-07-01,0
"80",2031-08-01,0
"81",2031-09-01,0
"82",2031-10-01,0
"83",2031-11-01,0
"84",2031-12-01,0
"85",2032-01-01,0
